Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Register and Login,Chrome 71.0.3578.98,Register and Login,2019-01-07 11:48:20,2019-01-07 11:48:58,38.389s,PASSED
,,,,,,
Test Cases/ICRC External - Registration - Liz,Chrome 71.0.3578.98,Test Case for Sign-Up,2019-01-07 11:48:20,2019-01-07 11:48:35,14.472s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-07 11:48:21,2019-01-07 11:48:24,2.987s,PASSED
"navigateToUrl(""https://icrc-test.nci.nih.gov/"")",Chrome 71.0.3578.98,,2019-01-07 11:48:24,2019-01-07 11:48:27,2.789s,PASSED
"click(findTestObject(""Page_Introduction to Cancer Researc/a_Register""))",Chrome 71.0.3578.98,,2019-01-07 11:48:27,2019-01-07 11:48:27,0.634s,PASSED
"click(findTestObject(""Object Repository/Page_Registration/input__usPersonType (3)""))",Chrome 71.0.3578.98,,2019-01-07 11:48:27,2019-01-07 11:48:28,0.150s,PASSED
"click(findTestObject(""Object Repository/Page_Registration/input_U.S. Citizen_usPersonTyp (1)""))",Chrome 71.0.3578.98,,2019-01-07 11:48:28,2019-01-07 11:48:28,0.135s,PASSED
"click(findTestObject(""Object Repository/Page_Registration/div_Alien Registration Number (1)""))",Chrome 71.0.3578.98,,2019-01-07 11:48:28,2019-01-07 11:48:28,0.157s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Registration/select_--- Select a level --- (3)""), ""162"", true)",Chrome 71.0.3578.98,,2019-01-07 11:48:28,2019-01-07 11:48:29,0.605s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Registration/select_--- Select a level --- (3)""), ""164"", true)",Chrome 71.0.3578.98,,2019-01-07 11:48:29,2019-01-07 11:48:29,0.350s,PASSED
"click(findTestObject(""Object Repository/Page_Registration/div_Are you U.S. CitizenPerman (1)""))",Chrome 71.0.3578.98,,2019-01-07 11:48:29,2019-01-07 11:48:29,0.152s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Registration/select_--- Select a level --- (3)""), ""149"", true)",Chrome 71.0.3578.98,,2019-01-07 11:48:29,2019-01-07 11:48:29,0.230s,PASSED
"click(findTestObject(""Object Repository/Page_Registration/input__usPersonType (3)""))",Chrome 71.0.3578.98,,2019-01-07 11:48:29,2019-01-07 11:48:29,0.077s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Registration/select_--Select--    Dr.    Mr (1)""), ""166"", true)",Chrome 71.0.3578.98,,2019-01-07 11:48:29,2019-01-07 11:48:30,0.307s,PASSED
"click(findTestObject(""Object Repository/Page_Registration/label_Prefix (1)""))",Chrome 71.0.3578.98,,2019-01-07 11:48:30,2019-01-07 11:48:30,0.120s,PASSED
"click(findTestObject(""Object Repository/Page_Registration/div_Prefix            --Select (1)""))",Chrome 71.0.3578.98,,2019-01-07 11:48:30,2019-01-07 11:48:30,0.153s,PASSED
"click(findTestObject(""Object Repository/Page_Registration/label_First Name (1)""))",Chrome 71.0.3578.98,,2019-01-07 11:48:30,2019-01-07 11:48:30,0.099s,PASSED
"click(findTestObject(""Object Repository/Page_Registration/div_First Name (1)""))",Chrome 71.0.3578.98,,2019-01-07 11:48:30,2019-01-07 11:48:30,0.144s,PASSED
"setText(findTestObject(""Object Repository/Page_Registration/input__firstName (1)""), FirstName)",Chrome 71.0.3578.98,,2019-01-07 11:48:30,2019-01-07 11:48:30,0.194s,PASSED
"setText(findTestObject(""Object Repository/Page_Registration/input__lastName (1)""), LastName)",Chrome 71.0.3578.98,,2019-01-07 11:48:30,2019-01-07 11:48:31,0.151s,PASSED
"setText(findTestObject(""Object Repository/Page_Registration/input__email (1)""), EmailAddress)",Chrome 71.0.3578.98,,2019-01-07 11:48:31,2019-01-07 11:48:31,0.225s,PASSED
"setText(findTestObject(""Object Repository/Page_Registration/input__password (1)""), Password)",Chrome 71.0.3578.98,,2019-01-07 11:48:31,2019-01-07 11:48:31,0.199s,PASSED
"setText(findTestObject(""Object Repository/Page_Registration/input__confirmPassword (1)""), ConfirmPassword)",Chrome 71.0.3578.98,,2019-01-07 11:48:31,2019-01-07 11:48:31,0.227s,PASSED
"setText(findTestObject(""Object Repository/Page_Registration/input_Address Line 1_address1 (1)""), ""123 Fake St"")",Chrome 71.0.3578.98,,2019-01-07 11:48:31,2019-01-07 11:48:31,0.187s,PASSED
"setText(findTestObject(""Object Repository/Page_Registration/input_Address Line 2_address2 (1)""), ""Apt 1"")",Chrome 71.0.3578.98,,2019-01-07 11:48:31,2019-01-07 11:48:32,0.169s,PASSED
"setText(findTestObject(""Object Repository/Page_Registration/input_City_city (1)""), ""Rockville"")",Chrome 71.0.3578.98,,2019-01-07 11:48:32,2019-01-07 11:48:32,0.162s,PASSED
